breakCommit,fixCommit,primaryFile,category,lesson,hoursToFix,fileCount
b710ca48,6cb468d1,public/guild/brightinside/index.html,css-layout,"Changed z-index: 40 → 70. Also: z-index: 40 → 70 — stacking context collision; Changed top: 12px → calc(env(safe-area-inset-top, 0px) + 12px) → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec",0.0,1
998e187f,55149f7f,bin/ai.cjs,logic-error,in two places and the cost meter was unplugged. → Functions that compute values must return them. Missing return causes undefined results and silent f,0.0,1
faa6b65c,8ed2bf0e,PROJECT_STATE.md,css-layout,Added overflow:hidden — may clip child elements. Also: Added touch event handling — broken on mobile; Changed inset: -4% -4% -4% -4% → 0 → overflow:hidden on a parent silently clips children that extend beyond bounds. Check all child eleme,0.0,1
e713c399,d7fbdadd,public/guild/brightinside/index.html,css-layout,the line is split into per-letter inline-block → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,1
d7fbdadd,0921c9e1,public/guild/brightinside/index.html,css-layout,"Changed font-size: clamp(34px, 10vw, 60px) → clamp(32px, 9.2vw, 60px). Also: Changed line-height: 0.96 → 1.02; Changed letter-spacing: 0.01em → 0.012e → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec",0.0,1
056505c3,a51a9be3,public/guild/brightinside/assets/paradox-emblem.webp,logic-error,Added missing return statement — function was returning undefined. Also: Added missing return statement — function was returning undefined → Functions that compute values must return them. Missing return causes undefined results and silent f,0.0,3
a51a9be3,13d6b3b9,AUDIT-guild-page-2026-06-03.md,logic-error,clean demon-P emblem + deterministic emblem pipeline & asset gate (#81),0.0,5
ed6150d6,8b9d7033,public/guild/brightinside/assets/paradox-emblem.webp,other,the background remover only,0.0,2
02423ef1,f3d3842a,public/guild/brightinside/index.html,css-layout,Changed position: absolute → fixed. Also: Changed z-index: -2 → 0; Changed position: fixed → relative → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,1
6ba57404,1cadea4b,.mycelium/memory.json,other,fell back to a raw diff,0.0,1
52c07c53,0e2c4f57,public/invest.html,css-layout,proportional ship speeds calibrated to photo geometry,0.0,1
0e2c4f57,62d6dd7f,public/invest.html,mobile-compat,"Added touch event handling — broken on mobile. Also: Changed pointer-events: none} @keyframes loscan{0%,100%{top:8% → none; Changed animation: locloud → Desktop-only event handlers (click, hover) don't work on mobile. Always test touch interactions and",0.0,1
d25969c1,07babb3e,public/invest.html,css-layout,Changed opacity: .28 → .22. Also: Changed resource path → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,24.0,1
dc90df4d,90ee99e4,public/invest.html,css-layout,"(visible on iPhone, narrow viewports): → overflow:hidden on a parent silently clips children that extend beyond bounds. Check all child eleme",0.0,1
48cc7d8c,5c306d2b,public/invest.html,css-layout,remove ambient audio system + all corner watermark badges,0.0,1
8a74f8d5,33dec5b6,README.md,other,Scene 09 v11 — skin tones brightened to #B8875A for cross-scene consistency,48.0,1
33dec5b6,cbfbf0c0,README.md,dom-mutation,"Scene 09 v8 — DARK skin for RegginA/RegginO, butterfly wings safe, R.M.S. Regina accurate",0.0,4
cbfbf0c0,0f389e8c,README.md,test-failure,Scene 09 v9 — DARK skin for RegginA/RegginO + accurate R.M.S. Regina,0.0,4
09acb135,0be15ffb,README.md,api-contract,feat: repo beautification + scene-10 v4 headband fix,0.0,4
7b82ac94,68b8bea9,pipeline/keyframes/review.html,other,rendered as horns/antlers in v2.,24.0,1
8f677209,8b12e171,pipeline/keyframes/keyframe-manifest.json,other,Panthera DARK wings (scene 07 v3) + card deck action (scene 04 v4),0.0,3
a3180ce9,b4c72a9e,pipeline/assemble.js,build-config,feat(pipeline): trailer production pipeline + iOS Safari cinematic fix,0.0,3
5e4bd80e,69ea4620,public/world/nwg-the-game.html,logic-error,When the page loaded with localStorage 'nwg_cine_seen' already set → Functions that compute values must return them. Missing return causes undefined results and silent f,0.0,1
69ea4620,11f9927f,public/world/nwg-the-game.html,logic-error,Tapping Rewatch showed a blank black screen on mobile because: → Double-check boolean conditions after writing them. Inverted logic is the most common and hardest-to,0.0,1
11f9927f,34971f87,public/world/nwg-the-game.html,css-layout,Skip button was unresponsive on mobile because: → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,1
34971f87,bb78b867,public/world/nwg-the-game.html,unknown,"feat: cinematic trailer v3, companion system, Samsara, i18n, mobile skip fix & pipeline",0.0,1
30772672,8a8ca4ba,public/static/nw-nav.js,unknown,feat(i18n): comprehensive audit tool + DLC 6 Regina + fix orphaned ZH translations,0.0,1
035e4b10,2db1ff18,AGENT-CONTEXT.md,unknown,feat(i18n+design+siege): Guild Siege page + i18n Guard v2.0 + design guard fixes (#43),0.0,20
2db1ff18,1d25a76c,AGENT-CONTEXT.md,other,"feat(memory): system audit + AGENT-CONTEXT.md — 26 fixes, hardened validation, portable AI setup",24.0,1
1d25a76c,d6ae78eb,AGENT-CONTEXT.md,mobile-compat,"Added responsive breakpoint — was broken on different screen sizes → Test every UI change at 320px, 768px, and 1024px. Add @media breakpoints for layouts that break at d",0.0,2
d6ae78eb,4e6d427f,public/ai-assets.html,i18n,"nuke buy-toast entirely — direct redirect to /buy.html, no popup",0.0,3
4e6d427f,3ab2707e,public/ai-assets.html,async-timing,"Changed timeout: 3500ms → 1200ms → Hardcoded timeout values break on slow devices. Prefer requestAnimationFrame, MutationObserver, or e",0.0,3
3ab2707e,f71797da,public/ai-assets.html,i18n,"remove Qing/卿 personalization, emoji animations, streak/achievement systems",0.0,3
f71797da,f07a5776,public/kintsugi.html,mobile-compat,"Added responsive breakpoint — was broken on different screen sizes → Test every UI change at 320px, 768px, and 1024px. Add @media breakpoints for layouts that break at d",0.0,1
ea8793c3,26c9c65c,memory/qqb-memory.json,other,"feat(memory): v2.0 hybrid-LTM system — tiered memory, importance scoring, anti-regression guards, retrieval hints",0.0,1
175bf371,16c62641,.gitignore,unknown,"refactor: fix stale identifiers, harden init, clean dead code, optimize perf",24.0,12
f965e84e,847fe089,CLAUDE.md,test-failure,record underselling breakage + add HONESTY GATE to CLAUDE.md — never claim something doesnt work without testing it,0.0,4
847fe089,adf49f14,.mycelium/eval.json,test-failure,"strip fake impact metrics (hours/money/pts saved) — replace with provable numbers only (33 tests, 13 hardened, 48 learnings, 50 breakages)",0.0,2
adf49f14,1998cc92,public/static/data/showcase-live.json,i18n,feat(regression): 12 real regression tests targeting actual breakage patterns — caught and fixed digit-starting i18n key bug in index.html,0.0,3
c2bd51e6,8f81ad8e,.mycelium/eval-history.json,other,undo cosmetic file moves + add VALUE GATE constraint — no busywork without measurable improvement,0.0,3
b895bc58,652f3af8,bin/mycelium.cjs,css-layout,Changed run: git checkout main && git pull') → git checkout main && git pull && git checkout -B genspark_ai_developer main') → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,4
373840d4,dd67dac1,.husky/post-commit,null-reference,"selfHeal gated at 10 commits, but squash workflow compresses 4-5→1, → Validate prerequisites before executing logic. Check that DOM elements exist, APIs are loaded, and d",0.0,7
fa172e0f,d9865b53,memory.json,error-handling,"Wrapped code in try-catch — was crashing on error → Wrap external calls (DOM, fetch, JSON.parse, localStorage) in try-catch. Unhandled exceptions crash",0.0,1
3aab4d9e,48ba4e3b,CLAUDE.md,other,fix: gitwise --warn and --learn calls were dead code (unreachable after exit 0),0.0,2
bb1037f9,3affe035,public/battle.html,load-order,showed overlay never appears on iOS mobile — user goes straight to → Scripts that call each other's globals must load in dependency order. Document the dependency chain,0.0,3
3affe035,e25565d5,public/battle.html,load-order,found via mobile debug: init() was stuck at 'await Audio.init()' → Scripts that call each other's globals must load in dependency order. Document the dependency chain,0.0,4
e25565d5,a64bf8da,public/battle.html,load-order,panel (green monospace text at bottom) that shows → Scripts that call each other's globals must load in dependency order. Document the dependency chain,0.0,4
