area,what,why,date
"landing","Landing pages are now cinematic short films: 3-5 beats, hero video<=4MB with poster+webm/mp4, film layer (grain/vignette/grade), 4-rung fallback ladder (full/reduced-motion/low-gpu/no-js)","Research showed cinematic narrative + performance discipline is what separates premium landing pages from templates; doctrine in references/LANDING-CINEMATIC.md, enforced by tools/landing-lint.cjs",2026-07-05
"workflow","CLAUDE.md dieted 27.3KB→6.7KB: gates kept verbatim-in-spirit but compressed, project arch moved to docs/ARCHITECTURE.md appendix, task-brief/route-task wired into startup as the front door, cost table","Every session paid ~7K tokens to read rules+arch it mostly didn't need; hand-written cost numbers drifted 4.5x; the context-firewall tools existed but no protocol pointed at them",2026-07-02
"mining","Mine works but ran in LOCAL deep-diff mode (no LLM key at mine time), so rootCauses were raw diff dumps / pasted commit messages. Data 6 commits stale (last mine 2026-05-02, last full 2026-02-10). Pla","Validator graded A+ on field-completeness but actionRate was only 0.59; a data company values meaningful root-cause analysis, not filled fields.",2026-06-02
"efficiency","Building a token-efficiency harness: EFFICIENCY.md (tight repo-specific playbook) + tools/efficiency-ledger.cjs (cost-proxy ledger to .mycelium/efficiency.json). Tokens are NOT visible to the agent at","User flagged credits-per-slice too high. Cannot improve what you cannot measure; the proxy makes lean vs bloated slices visible and learnings persist across any AI via mycelium.",2026-06-02
"ai-tell","Built #3 layout/visual AI-tell linter (tools/ai-layout-lint.cjs): 6 named visual tells (emoji-as-icon, stock indigo-purple gradient, default shadow ladder, opacity-only motion, cookie-cutter blocks, d","Calibrated against taste-locked invest.html (clean). Key learning: monochrome dingbats (close button glyph, check marks) are NOT emoji-icons; only flag colour emoji (high-plane or BMP-symbol+VS16) to ",2026-06-02
"refactor","Extracting shared tools/lib/aitell-common.cjs to dedupe ANSI colors, stripMarkupAndCode, readUtf8, isCJK, tryParseJSON across ai-stylometry/ai-naturalness/aitell-pipeline before adding a third copy in","stripMarkupAndCode was copy-pasted in two detectors; the #3 layout linter would have been a third copy. Centralize now.",2026-06-02
"ai-tell","Built the aitell anti-AI-tell production pipeline: orchestrator (tools/aitell-pipeline.cjs) + new stylometry module (tools/ai-stylometry.cjs) + PRODUCTION-PIPELINE.md, wired into bin/ai.cjs (aitell + ","Unified the 4 separate anti-AI-tell tools behind one command that inspects every production step in 3 cheapest-first stages: (1) deterministic corpus = the ONLY blocking stage (ai-tell-lint for text, ",2026-06-02
"taste","Created TASTE.md as the group's medium-agnostic taste constitution and wired it into all three AI entry points (README, AI_PLAYBOOK, CLAUDE.md)","Repo taught AI operations+correctness well but taste was undiscoverable (craft docs were orphans in references/, never linked from the front door). Brainstormed the spine with the founder: one line 'p",2026-06-02
"motion","adopted GSAP+Lenis over CDN as the house motion stack, governed by references/MOTION-CRAFT.md; first reference implementation is PINFORGE invest.html (hero overture timeline, scroll-scrubbed section l","page felt work-in-progress because the motion layer was CSS-only (4 IntersectionObservers, transitions); world-class feel comes from orchestrated entrances, scroll-as-timeline, and cursor response,...",2026-06-01
"icons","Icon injection uses data-i18n key mapping, not hardcoded DOM positions","KEY_MAP in nw-game-icons.js maps feat_biomes→biomes, feat_monkeys→monkeys, etc. init() scans .feature-icon elements, finds parent .feature-card, reads h3[data-i18n], looks up KEY_MAP, injects SVG. ...",2026-02-14
"icons","SVG icons must be intricate AAA-quality drawings, not minimalist line art","User explicitly rejected simple/flat SVGs. Quality bar is game-icons.net but MORE detailed — full-on beautiful drawings. Current v1 icons are too simple, v2 must have significantly more path comple...",2026-02-14
"icons","Replaced 42 emoji feature-card icons with hand-crafted AAA SVG icon system","Emojis looked cheap/unprofessional on a game site. User demands game-icons.net level detail with golden gradients, glow effects, and intricate detail. Created nw-game-icons.js (31KB) with 6 gradien...",2026-02-14
"workflow","design-fix script","Automated font-size floor (0.75rem minimum) and @media block deduplication in scripts/design-fix.cjs — catches 159 font violations and 15 duplicate @media blocks across 48 pages in one run",2026-02-12
"discoverability","viral-ready README + tools page + CONTRIBUTING + issue templates","GitHub repos that go viral have: badges, copy-paste commands, visual terminal demos, contributor CTA, issue templates",2026-02-09
"memory","Enriched deepReflect with 6 organic analysis types: decision-impact correlation, unprotected area detection, recurring theme analysis, velocity/sprint quality, score trend analysis, focus shift detect","Learnings and reflections arrays were empty or contained only template fix-chain messages. The system had rich data (32 decisions, 12 breakages, 101 snapshots) but wasn't synthesizing cross-cutting...",2026-02-09
"oracle","Oracle page uses keyword-matched curated wisdom pool (20 entries across 15 life topics) as primary content source, with LLM as enhancement when API key is valid","API tokens expire between sessions — curated pool must be rich enough to stand alone as the full product. Each wisdom follows the 5-part Oracle format: empathy, consensus, funny truth, action step,...",2026-02-09
"oracle","Built /oracle page as a life-advice generator combining Buddhist sutras, Tao Te Ching, Bible, and Quran with humor — fallback pool of 20 deep wisdoms so it works even without LLM API","User wants an addictive wisdom page that feels like a premium product. Fallback pool makes it usable immediately without waiting for API key to be configured on Cloudflare.",2026-02-09
"font","NumbahWan as primary font everywhere on homepage","User wants the custom pixel font to be THE identity of the site, not just headings — Orbitron is fallback only",2026-02-09
"memory","Blueprint concepts adapted for no-API environment","From the Recursive Self-Improvement blueprint: 1) Commit scoring (deterministic, 0-100) replaces rubric-based LLM scoring. 2) Auto-reflection on fix chains replaces LLM critique. 3) Semantic distil...",2026-02-08
"memory","Use the conversation AI as the LLM-as-Judge instead of an external API","No free LLM API available. The AI assistant already running in the conversation IS the judge — it reads .nw-context, self-evaluates before committing, and records learnings. Pre-commit hook does de...",2026-02-08
