area,lesson,date
"i18n","conspiracy.html had two i18n systems (CONSPIRACY_I18N + NW_I18N) — translations",2026-02-10
"i18n","lore/conspiracy-board innerHTML content lost on language switch — NW_I18N.onChan",2026-02-10
"guide","nw-guide.js event handlers lost after language switch — innerHTML replaced DOM n",2026-02-10
"emoji","v4 emoji-strip regex cleanup pattern matched closing HTML attribute quotes — col",2026-02-10
"i18n","3792 [ZH]/[TH] placeholder strings visible to users across 69 pages — generated",2026-02-10
"workflow","AI rewrote loading screen for 20 minutes when user was asking about the recursiv",2026-02-10
"workflow","AI recommended auto-premortem feature that already existed in .husky/pre-commit",2026-02-10
"sandbox","Gave user a link to port 8788 that was bound to 127.0.0.1 (localhost only). Sand",2026-02-10
"eval","AI gamed the eval by adding bonus systems and secondary signals that inflated sc",2026-02-10
"workflow","AI built a 30+ edit cosmetic refactor (moving files into .mycelium/) without que",2026-02-10
"workflow","After chat compaction, AI lost all task state and started reading random files i",2026-02-10
"workflow","Screenshot round-tripping wastes 4-6 messages per section review. Solution: buil",2026-02-14
"workflow","When replacing visual assets (icons, images), always build a before/after compar",2026-02-14
"workflow","ES module gotcha: project has type:module in package.json. All helper scripts mu",2026-02-14
"icons","First SVG icon pass was too simple/flat. User bar is game-icons.net MINIMUM — ea",2026-02-14
"workflow","Dual memory system works: Mycelium stores code-level knowledge (breakages, const",2026-02-14
"workflow","grep/scan the project before suggesting features. User has 104+ HTML pages, full",2026-02-14
"mining","LLM enrichment never fired because the proxy rejected gpt-4o-mini (400) and the",2026-06-02
"efficiency","Repo's biggest token cost is monolith HTML pages (invest.html 4300 lines, index.",2026-06-02
"efficiency","Guild headline took 3 PRs (#84-86) and emblem 5 (#79-83) because visual bugs onl",2026-06-03
"workflow","Learning systems go 'silent' across chat windows NOT because they break, but bec",2026-06-04
"workflow","SOLVED: learning-system survival. Built tools/heartbeat.cjs (node bin/ai.cjs pul",2026-06-04
"collab","[collab/strengthen] on infra problems, check hook activation state first",2026-06-04
"guild","[collab-observer/re-fix-loop] Before shipping any ""guild"" change, run: node bin/",2026-06-04
"workflow","Reflection redesign: replaced AI-self-grading reflect prompts with tools/collab-",2026-06-04
"sentinel","Freshness heal cmds must WRITE the file they freshen: sentinel-eval rule ran sen",2026-06-10
"workflow","Squash-merge rewrites history: hashes recorded in mined data (fix-log, enriched",2026-06-10
"workflow","Health scores must age out fixed failures: last-error.log blocks and smoke-repor",2026-06-10
"i18n","page-gen PAGE_I18N must serialize with UNQUOTED JS identifier keys — nw-i18n-gua",2026-07-05
"learning","[collab-observer/re-fix-loop] Before shipping any ""learning"" change, run: node b",2026-07-05
"learning","[collab-observer/re-fix-loop] Before shipping any ""learning"" change, run: node bin/ai.cjs preship  (run the full pre-ship gate before shipping this area again) (observed: 3 fix(learning) commits in ",2026-07-29
